Timestamp: 2023-10-26 00:47:15, Temps d'execution: 2.42 seconds
Timestamp: 2023-10-26 00:54:59, Temps d'execution: 2.56 seconds
Timestamp: 2023-10-26 01:47:43, Temps d'execution: 9.86 seconds
Timestamp: 2023-10-26 01:48:14, Temps d'execution: 7.49 seconds
Timestamp: 2023-10-26 01:48:25, Temps d'execution: 6.99 seconds
Timestamp: 2023-10-26 01:48:43, Temps d'execution: 7.74 seconds
Timestamp: 2023-10-26 01:49:26, Temps d'execution: 8.50 seconds
Timestamp: 2023-10-26 01:49:41, Temps d'execution: 11.25 seconds
Timestamp: 2023-10-26 08:41:25, Temps d'execution: 3.94 seconds
Timestamp: 2023-10-26 08:50:28, Temps d'execution: 72.41 seconds
Timestamp: 2023-10-26 08:51:12, Temps d'execution: 8.52 seconds
Timestamp: 2023-10-26 09:24:02, Temps d'execution: 168.02 seconds
Timestamp: 2023-10-26 09:33:02, Temps d'execution: 163.89 seconds
Timestamp: 2023-10-26 09:36:31, Temps d'execution: 141.53 seconds
Timestamp: 2023-10-26 09:38:01, Temps d'execution: 30.17 seconds
Timestamp: 2023-10-26 09:41:27, Temps d'execution: 25.13 seconds
Timestamp: 2023-10-26 09:46:32, Temps d'execution: 10.92 seconds
Timestamp: 2023-10-26 09:48:28, Temps d'execution: 10.45 seconds
Timestamp: 2023-10-26 09:49:47, Temps d'execution: 10.21 seconds
Timestamp: 2023-10-26 09:53:18, Temps d'execution: 10.98 seconds
Timestamp: 2023-10-26 09:54:58, Temps d'execution: 9.56 seconds
Timestamp: 2023-10-26 09:55:04, Temps d'execution: 4.55 seconds
Timestamp: 2023-10-26 09:57:52, Temps d'execution: 9.94 seconds
Timestamp: 2023-10-26 10:00:17, Temps d'execution: 10.59 seconds
Timestamp: 2023-10-26 10:00:50, Temps d'execution: 5.39 seconds
Timestamp: 2023-10-26 10:01:19, Temps d'execution: 3.11 seconds
Timestamp: 2023-10-26 10:01:45, Temps d'execution: 6.71 seconds
Timestamp: 2023-10-26 10:04:44, Temps d'execution: 10.65 seconds
Timestamp: 2023-10-26 10:08:00, Temps d'execution: 77.32 seconds
Timestamp: 2023-10-26 10:09:36, Temps d'execution: 6.74 seconds
Timestamp: 2023-10-26 10:09:55, Temps d'execution: 3.33 seconds
Timestamp: 2023-10-26 10:10:12, Temps d'execution: 6.27 seconds
Timestamp: 2023-10-26 10:10:45, Temps d'execution: 3.94 seconds
Timestamp: 2023-10-26 10:11:38, Temps d'execution: 6.41 seconds
Timestamp: 2023-10-26 10:11:59, Temps d'execution: 6.22 seconds
Timestamp: 2023-10-26 10:12:11, Temps d'execution: 3.35 seconds
Timestamp: 2023-10-26 10:12:37, Temps d'execution: 5.27 seconds
Timestamp: 2023-10-26 10:13:05, Temps d'execution: 8.54 seconds
Timestamp: 2023-10-26 10:13:18, Temps d'execution: 4.10 seconds
Timestamp: 2023-10-26 10:15:35, Temps d'execution: 6.71 seconds
Timestamp: 2023-10-26 10:15:49, Temps d'execution: 4.08 seconds
Timestamp: 2023-10-26 10:16:17, Temps d'execution: 6.50 seconds
Timestamp: 2023-10-26 10:16:38, Temps d'execution: 10.59 seconds
Timestamp: 2023-10-26 10:22:34, Temps d'execution: 5.95 seconds
Timestamp: 2023-10-26 10:28:03, Temps d'execution: 69.49 seconds
Timestamp: 2023-10-26 10:30:42, Temps d'execution: 60.36 seconds
Timestamp: 2023-10-26 10:31:50, Temps d'execution: 3.96 seconds
Timestamp: 2023-10-26 10:32:13, Temps d'execution: 3.96 seconds
Timestamp: 2023-10-26 10:32:29, Temps d'execution: 4.03 seconds
Timestamp: 2023-10-26 10:33:25, Temps d'execution: 4.10 seconds
Timestamp: 2023-10-26 10:34:03, Temps d'execution: 4.13 seconds
Timestamp: 2023-10-26 10:34:55, Temps d'execution: 4.07 seconds
Timestamp: 2023-10-26 10:36:26, Temps d'execution: 3.96 seconds
Timestamp: 2023-10-26 10:41:44, Temps d'execution: 17.24 seconds
Timestamp: 2023-10-26 10:42:31, Temps d'execution: 15.61 seconds
Timestamp: 2023-10-26 10:42:57, Temps d'execution: 16.77 seconds
Timestamp: 2023-10-26 10:47:14, Temps d'execution: 8.39 seconds
Timestamp: 2023-10-26 10:49:19, Temps d'execution: 13.54 seconds
Timestamp: 2023-10-26 11:00:27, Temps d'execution: 118.83 seconds
Timestamp: 2023-10-26 11:01:19, Temps d'execution: 11.15 seconds
Timestamp: 2023-10-26 11:12:33, Temps d'execution: 8.20 seconds
Timestamp: 2023-10-26 11:12:52, Temps d'execution: 12.65 seconds
Timestamp: 2023-10-26 11:14:59, Temps d'execution: 10.30 seconds
Timestamp: 2023-10-26 11:18:21, Temps d'execution: 13.19 seconds
Timestamp: 2023-10-26 15:41:52, Temps d'execution: 7.91 seconds
Timestamp: 2023-10-26 15:54:21, Temps d'execution: 184.75 seconds
